"Element","Group","MAIZ","RICE","SORG","CASS","BEAN"
"Temperature","TMean","TMean4, TMean6, TMean7, TMean9, TMean11, TMean12","TMean1, TMean3, TMean4, TMean6, TMean7, TMean9, TMean10, TMean11, TMean12","TMean1, TMean2, TMean3, TMean7, TMean8, TMean9, TMean10, TMean12","TMean1, TMean2, TMean3, TMean4, TMean5, TMean6, TMean7, TMean8, TMean9, TMean10, TMean11, TMean12","TMean2, TMean3, TMean7, TMean12"
"Temperature","TMax","TMax1, TMax4, TMax7, TMax8, TMax10, TMax11, TMax12","TMax1, TMax5, TMax6, TMax7, TMax8, TMax9, TMax10, TMax11, TMax12","TMax5, TMax6, TMax7, TMax9, TMax10, TMax11","TMax2, TMax3, TMax4, TMax5, TMax6, TMax7, TMax8, TMax9, TMax10, TMax11, TMax12","TMax6, TMax8, TMax10"
"Temperature","TMin","TMin2, TMin3, TMin4, TMin5, TMin6, TMin7, TMin8, TMin9, TMin10","TMin2, TMin3, TMin4, TMin6, TMin7, TMin10, TMin11","TMin1, TMin2, TMin3, TMin4, TMin5, TMin6, TMin7, TMin8, TMin9, TMin10, TMin11","TMin1, TMin2, TMin3, TMin4, TMin5, TMin6, TMin7, TMin8, TMin9, TMin10, TMin11, TMin12","TMin1, TMin2, TMin4, TMin5, TMin6, TMin7, TMin8, TMin9, TMin11, TMin12"
"Temperature","GDD","GDD2, GDD5","GDD1, GDD4, GDD6, GDD7, GDD11","GDD3, GDD5, GDD6, GDD7, GDD10, GDD12","GDD2, GDD3, GDD5, GDD6, GDD7, GDD9, GDD11, GDD12","GDD2, GDD3, GDD4, GDD5, GDD6, GDD8, GDD9"
"Temperature","Srad","","Srad4, Srad5, Srad11, Srad12","Srad9","Srad1, Srad5, Srad6, Srad8, Srad11, Srad12",""
"Precipitation","ET","ET2, ET4, ET6, ET7, ET9, ET10, ET12","ET1, ET2, ET3, ET4, ET5, ET6, ET9, ET10, ET11, ET12","ET1, ET2, ET3, ET6, ET10, ET11, ET12","ET1, ET2, ET3, ET4, ET6, ET7, ET8, ET9, ET10, ET11, ET12","ET5, ET7, ET10, ET11, ET12"
"Precipitation","Prec","Prec2, Prec4, Prec6, Prec7, Prec9, Prec10, Prec11","Prec1, Prec2, Prec4, Prec5, Prec6, Prec7, Prec8, Prec10, Prec11, Prec12","Prec1, Prec2, Prec3, Prec4, Prec6, Prec7, Prec8, Prec9, Prec10, Prec11, Prec12","Prec1, Prec2, Prec3, Prec4, Prec5, Prec6, Prec7, Prec8, Prec9, Prec10, Prec11, Prec12","Prec4, Prec6, Prec7, Prec8, Prec9, Prec10, Prec11, Prec12"
"Precipitation","Vapr","Vapr1, Vapr2, Vapr7, Vapr9","Vapr1, Vapr2, Vapr4, Vapr5, Vapr10","Vapr4, Vapr6, Vapr7, Vapr8, Vapr9, Vapr10, Vapr12","Vapr1, Vapr3, Vapr4, Vapr5, Vapr6, Vapr7, Vapr8, Vapr11, Vapr12","Vapr3, Vapr10"
"Soil","bdod","bdod_0-5cm, bdod_100-200cm","bdod_0-5cm, bdod_100-200cm, bdod_15-30cm, bdod_30-60cm, bdod_5-15cm, bdod_60-100cm","bdod_0-5cm, bdod_100-200cm, bdod_30-60cm, bdod_5-15cm","bdod_0-5cm, bdod_100-200cm, bdod_15-30cm, bdod_30-60cm, bdod_5-15cm, bdod_60-100cm","bdod_0-5cm, bdod_15-30cm, bdod_5-15cm"
"Soil","cec","cec_0-5cm, cec_30-60cm","cec_0-5cm, cec_15-30cm, cec_30-60cm, cec_5-15cm, cec_60-100cm","cec_0-5cm, cec_30-60cm","cec_0-5cm, cec_100-200cm, cec_5-15cm","cec_0-5cm, cec_30-60cm, cec_5-15cm"
"Soil","cfvo","cfvo_0-5cm, cfvo_30-60cm, cfvo_60-100cm","cfvo_0-5cm, cfvo_100-200cm, cfvo_15-30cm, cfvo_30-60cm, cfvo_60-100cm","cfvo_0-5cm, cfvo_100-200cm, cfvo_15-30cm, cfvo_60-100cm","cfvo_0-5cm, cfvo_100-200cm, cfvo_15-30cm, cfvo_30-60cm, cfvo_5-15cm, cfvo_60-100cm","cfvo_0-5cm, cfvo_30-60cm, cfvo_60-100cm"
"Soil","clay","clay_100-200cm, clay_30-60cm","clay_30-60cm, clay_60-100cm","","clay_0-5cm, clay_100-200cm, clay_15-30cm, clay_5-15cm, clay_60-100cm","clay_30-60cm, clay_5-15cm"
"Soil","nitrogen","nitrogen_0-5cm, nitrogen_100-200cm, nitrogen_30-60cm, nitrogen_60-100cm","nitrogen_0-5cm, nitrogen_100-200cm, nitrogen_15-30cm, nitrogen_30-60cm, nitrogen_5-15cm, nitrogen_60-100cm","nitrogen_0-5cm, nitrogen_100-200cm, nitrogen_15-30cm, nitrogen_30-60cm, nitrogen_5-15cm, nitrogen_60-100cm","nitrogen_0-5cm, nitrogen_100-200cm, nitrogen_15-30cm, nitrogen_30-60cm, nitrogen_5-15cm, nitrogen_60-100cm","nitrogen_0-5cm, nitrogen_100-200cm, nitrogen_15-30cm, nitrogen_5-15cm, nitrogen_60-100cm"
"Soil","phh2o","phh2o_0-5cm, phh2o_60-100cm","phh2o_15-30cm, phh2o_60-100cm","phh2o_0-5cm, phh2o_100-200cm, phh2o_15-30cm, phh2o_5-15cm, phh2o_60-100cm","phh2o_0-5cm, phh2o_100-200cm, phh2o_15-30cm, phh2o_30-60cm, phh2o_5-15cm, phh2o_60-100cm","phh2o_0-5cm, phh2o_100-200cm"
"Soil","sand","","sand_100-200cm","sand_15-30cm, sand_30-60cm","sand_30-60cm, sand_60-100cm","sand_100-200cm, sand_15-30cm"
"Soil","silt","silt_5-15cm","silt_0-5cm, silt_100-200cm, silt_30-60cm, silt_5-15cm, silt_60-100cm","silt_100-200cm, silt_15-30cm, silt_30-60cm, silt_5-15cm","silt_0-5cm, silt_100-200cm, silt_15-30cm, silt_30-60cm, silt_5-15cm, silt_60-100cm","silt_15-30cm"
"Soil","soc","soc_0-5cm, soc_100-200cm, soc_30-60cm, soc_5-15cm","soc_0-5cm, soc_100-200cm, soc_15-30cm, soc_30-60cm, soc_5-15cm, soc_60-100cm","soc_100-200cm, soc_30-60cm, soc_5-15cm, soc_60-100cm","soc_100-200cm, soc_30-60cm, soc_5-15cm, soc_60-100cm","soc_0-5cm, soc_5-15cm, soc_60-100cm"
